pin,slack
neorv32_ProcessorTop_Minimal_0/neorv32_inst/core_complex.neorv32_cpu_inst/neorv32_cpu_control_inst/execute_engine.ir_RNIJEKO1_0[24]:A,92535
neorv32_ProcessorTop_Minimal_0/neorv32_inst/core_complex.neorv32_cpu_inst/neorv32_cpu_control_inst/execute_engine.ir_RNIJEKO1_0[24]:B,92476
neorv32_ProcessorTop_Minimal_0/neorv32_inst/core_complex.neorv32_cpu_inst/neorv32_cpu_control_inst/execute_engine.ir_RNIJEKO1_0[24]:C,92368
neorv32_ProcessorTop_Minimal_0/neorv32_inst/core_complex.neorv32_cpu_inst/neorv32_cpu_control_inst/execute_engine.ir_RNIJEKO1_0[24]:D,92345
neorv32_ProcessorTop_Minimal_0/neorv32_inst/core_complex.neorv32_cpu_inst/neorv32_cpu_control_inst/execute_engine.ir_RNIJEKO1_0[24]:Y,92345
neorv32_ProcessorTop_Minimal_0/neorv32_inst/core_complex.neorv32_cpu_inst/neorv32_cpu_control_inst/csr.mepc_8[2]:A,95754
neorv32_ProcessorTop_Minimal_0/neorv32_inst/core_complex.neorv32_cpu_inst/neorv32_cpu_control_inst/csr.mepc_8[2]:B,94517
neorv32_ProcessorTop_Minimal_0/neorv32_inst/core_complex.neorv32_cpu_inst/neorv32_cpu_control_inst/csr.mepc_8[2]:C,96929
neorv32_ProcessorTop_Minimal_0/neorv32_inst/core_complex.neorv32_cpu_inst/neorv32_cpu_control_inst/csr.mepc_8[2]:Y,94517
neorv32_ProcessorTop_Minimal_0/neorv32_inst/core_complex.neorv32_cpu_inst/neorv32_cpu_alu_inst/neorv32_cpu_cp_shifter_inst/m90:A,92887
neorv32_ProcessorTop_Minimal_0/neorv32_inst/core_complex.neorv32_cpu_inst/neorv32_cpu_alu_inst/neorv32_cpu_cp_shifter_inst/m90:B,92718
neorv32_ProcessorTop_Minimal_0/neorv32_inst/core_complex.neorv32_cpu_inst/neorv32_cpu_alu_inst/neorv32_cpu_cp_shifter_inst/m90:C,93024
neorv32_ProcessorTop_Minimal_0/neorv32_inst/core_complex.neorv32_cpu_inst/neorv32_cpu_alu_inst/neorv32_cpu_cp_shifter_inst/m90:Y,92718
top_sb_0/CoreAHBLite_0/matrix4x16/masterstage_0/PREGATEDHADDR[30]:A,95885
top_sb_0/CoreAHBLite_0/matrix4x16/masterstage_0/PREGATEDHADDR[30]:B,96146
top_sb_0/CoreAHBLite_0/matrix4x16/masterstage_0/PREGATEDHADDR[30]:C,96087
top_sb_0/CoreAHBLite_0/matrix4x16/masterstage_0/PREGATEDHADDR[30]:Y,95885
neorv32_ProcessorTop_Minimal_0/neorv32_inst/io_system.neorv32_mtime_inst_true.neorv32_mtime_inst/mtimecmp_lo[9]:ALn,46834
neorv32_ProcessorTop_Minimal_0/neorv32_inst/io_system.neorv32_mtime_inst_true.neorv32_mtime_inst/mtimecmp_lo[9]:CLK,96046
neorv32_ProcessorTop_Minimal_0/neorv32_inst/io_system.neorv32_mtime_inst_true.neorv32_mtime_inst/mtimecmp_lo[9]:D,98621
neorv32_ProcessorTop_Minimal_0/neorv32_inst/io_system.neorv32_mtime_inst_true.neorv32_mtime_inst/mtimecmp_lo[9]:EN,88871
neorv32_ProcessorTop_Minimal_0/neorv32_inst/io_system.neorv32_mtime_inst_true.neorv32_mtime_inst/mtimecmp_lo[9]:Q,96046
neorv32_ProcessorTop_Minimal_0/neorv32_inst/core_complex.neorv32_cpu_inst/neorv32_cpu_control_inst/csr.mepc[3]:ALn,46834
neorv32_ProcessorTop_Minimal_0/neorv32_inst/core_complex.neorv32_cpu_inst/neorv32_cpu_control_inst/csr.mepc[3]:CLK,96658
neorv32_ProcessorTop_Minimal_0/neorv32_inst/core_complex.neorv32_cpu_inst/neorv32_cpu_control_inst/csr.mepc[3]:D,94509
neorv32_ProcessorTop_Minimal_0/neorv32_inst/core_complex.neorv32_cpu_inst/neorv32_cpu_control_inst/csr.mepc[3]:EN,94309
neorv32_ProcessorTop_Minimal_0/neorv32_inst/core_complex.neorv32_cpu_inst/neorv32_cpu_control_inst/csr.mepc[3]:Q,96658
top_sb_0/CORERESETP_0/FIC_2_APB_M_PRESET_N_q1:ALn,
top_sb_0/CORERESETP_0/FIC_2_APB_M_PRESET_N_q1:CLK,98668
top_sb_0/CORERESETP_0/FIC_2_APB_M_PRESET_N_q1:Q,98668
neorv32_ProcessorTop_Minimal_0/neorv32_inst/io_system.neorv32_uart0_inst_true.neorv32_uart0_inst/rx_engine_fifo_inst/fifo.r_pnt_RNO[0]:A,96468
neorv32_ProcessorTop_Minimal_0/neorv32_inst/io_system.neorv32_uart0_inst_true.neorv32_uart0_inst/rx_engine_fifo_inst/fifo.r_pnt_RNO[0]:B,87666
neorv32_ProcessorTop_Minimal_0/neorv32_inst/io_system.neorv32_uart0_inst_true.neorv32_uart0_inst/rx_engine_fifo_inst/fifo.r_pnt_RNO[0]:C,97487
neorv32_ProcessorTop_Minimal_0/neorv32_inst/io_system.neorv32_uart0_inst_true.neorv32_uart0_inst/rx_engine_fifo_inst/fifo.r_pnt_RNO[0]:D,97392
neorv32_ProcessorTop_Minimal_0/neorv32_inst/io_system.neorv32_uart0_inst_true.neorv32_uart0_inst/rx_engine_fifo_inst/fifo.r_pnt_RNO[0]:Y,87666
neorv32_ProcessorTop_Minimal_0/neorv32_inst/core_complex.neorv32_cpu_inst/neorv32_cpu_control_inst/csr.mtvec[4]:ALn,46834
neorv32_ProcessorTop_Minimal_0/neorv32_inst/core_complex.neorv32_cpu_inst/neorv32_cpu_control_inst/csr.mtvec[4]:CLK,96411
neorv32_ProcessorTop_Minimal_0/neorv32_inst/core_complex.neorv32_cpu_inst/neorv32_cpu_control_inst/csr.mtvec[4]:D,94382
neorv32_ProcessorTop_Minimal_0/neorv32_inst/core_complex.neorv32_cpu_inst/neorv32_cpu_control_inst/csr.mtvec[4]:EN,94938
neorv32_ProcessorTop_Minimal_0/neorv32_inst/core_complex.neorv32_cpu_inst/neorv32_cpu_control_inst/csr.mtvec[4]:Q,96411
neorv32_ProcessorTop_Minimal_0/neorv32_inst/core_complex.neorv32_cpu_inst/neorv32_cpu_control_inst/csr_read_reg.csr.rdata_6_0_iv_4[31]:A,95253
neorv32_ProcessorTop_Minimal_0/neorv32_inst/core_complex.neorv32_cpu_inst/neorv32_cpu_control_inst/csr_read_reg.csr.rdata_6_0_iv_4[31]:B,95155
neorv32_ProcessorTop_Minimal_0/neorv32_inst/core_complex.neorv32_cpu_inst/neorv32_cpu_control_inst/csr_read_reg.csr.rdata_6_0_iv_4[31]:C,91051
neorv32_ProcessorTop_Minimal_0/neorv32_inst/core_complex.neorv32_cpu_inst/neorv32_cpu_control_inst/csr_read_reg.csr.rdata_6_0_iv_4[31]:D,90971
neorv32_ProcessorTop_Minimal_0/neorv32_inst/core_complex.neorv32_cpu_inst/neorv32_cpu_control_inst/csr_read_reg.csr.rdata_6_0_iv_4[31]:Y,90971
neorv32_ProcessorTop_Minimal_0/neorv32_inst/core_complex.neorv32_cpu_inst/neorv32_cpu_control_inst/cnt.hi_0_RNO[19]:A,93535
neorv32_ProcessorTop_Minimal_0/neorv32_inst/core_complex.neorv32_cpu_inst/neorv32_cpu_control_inst/cnt.hi_0_RNO[19]:B,95972
neorv32_ProcessorTop_Minimal_0/neorv32_inst/core_complex.neorv32_cpu_inst/neorv32_cpu_control_inst/cnt.hi_0_RNO[19]:C,94543
neorv32_ProcessorTop_Minimal_0/neorv32_inst/core_complex.neorv32_cpu_inst/neorv32_cpu_control_inst/cnt.hi_0_RNO[19]:Y,93535
led7_obuf/U0/U_IOPAD:D,
led7_obuf/U0/U_IOPAD:E,
led7_obuf/U0/U_IOPAD:PAD,
neorv32_ProcessorTop_Minimal_0/neorv32_inst/io_system.neorv32_uart0_inst_true.neorv32_uart0_inst/tx_engine_fifo_inst/fifo.r_pnt[0]:ALn,46834
neorv32_ProcessorTop_Minimal_0/neorv32_inst/io_system.neorv32_uart0_inst_true.neorv32_uart0_inst/tx_engine_fifo_inst/fifo.r_pnt[0]:CLK,95269
neorv32_ProcessorTop_Minimal_0/neorv32_inst/io_system.neorv32_uart0_inst_true.neorv32_uart0_inst/tx_engine_fifo_inst/fifo.r_pnt[0]:D,96324
neorv32_ProcessorTop_Minimal_0/neorv32_inst/io_system.neorv32_uart0_inst_true.neorv32_uart0_inst/tx_engine_fifo_inst/fifo.r_pnt[0]:Q,95269
neorv32_ProcessorTop_Minimal_0/neorv32_inst/core_complex.neorv32_cpu_inst/neorv32_cpu_lsu_inst/mem_do_reg.bus_req_o.data_9_1[30]:A,96355
neorv32_ProcessorTop_Minimal_0/neorv32_inst/core_complex.neorv32_cpu_inst/neorv32_cpu_lsu_inst/mem_do_reg.bus_req_o.data_9_1[30]:B,96273
neorv32_ProcessorTop_Minimal_0/neorv32_inst/core_complex.neorv32_cpu_inst/neorv32_cpu_lsu_inst/mem_do_reg.bus_req_o.data_9_1[30]:C,95530
neorv32_ProcessorTop_Minimal_0/neorv32_inst/core_complex.neorv32_cpu_inst/neorv32_cpu_lsu_inst/mem_do_reg.bus_req_o.data_9_1[30]:D,95783
neorv32_ProcessorTop_Minimal_0/neorv32_inst/core_complex.neorv32_cpu_inst/neorv32_cpu_lsu_inst/mem_do_reg.bus_req_o.data_9_1[30]:Y,95530
